NKE,20180608,LOW
NKE,20171123,LOW
NKE,20171027,LOW
NKE,20170928,LOW
NKE,20170525,LOW
NKE,20170127,LOW
NKE,20161228,LOW
NKE,20161130,LOW
NKE,20160401,LOW
NKE,20160122,LOW
NKE,20151224,LOW
NKE,20151016,LOW
NKE,20150827,LOW
NKE,20150807,LOW
NKE,20150716,LOW
NKE,20150326,LOW
NKE,20150108,LOW
NKE,20141017,LOW
NKE,20140716,LOW
NKE,20140531,LOW
NKE,20140131,LOW
NKE,20130928,LOW
NKE,20130816,LOW
NKE,20130727,LOW
NKE,20130704,LOW
NVS,20160302,LOW
NVS,20160211,LOW
NVS,20160122,LOW
NVO,20190522,LOW
NVO,20190413,LOW
NVO,20190228,LOW
NVO,20181227,LOW
NVO,20181129,LOW
NVO,20180829,LOW
NVO,20180809,LOW
NVO,20180719,LOW
NVO,20180629,LOW
NVO,20171219,LOW
NVO,20170204,LOW
NVO,20161207,LOW
NVO,20160812,LOW
NVO,20160706,LOW
NVO,20160408,LOW
NVO,20160309,LOW
NVO,20151218,LOW
NVO,20151105,LOW
NVO,20150930,LOW
NVO,20150717,LOW
NVO,20141230,LOW
NVO,20140705,LOW
NVO,20140411,LOW
NVO,20140322,LOW
NVO,20131225,LOW
NVO,20130814,LOW
NVO,20130719,LOW
ORCL,20190516,LOW
ORCL,20190409,LOW
ORCL,20190320,LOW
ORCL,20190201,LOW
ORCL,20190104,LOW
ORCL,20181121,LOW
ORCL,20181025,LOW
ORCL,20181002,LOW
ORCL,20180828,LOW
ORCL,20180718,LOW
ORCL,20180628,LOW
ORCL,20180530,LOW
ORCL,20171117,LOW
ORCL,20171018,LOW
ORCL,20170527,LOW
ORCL,20170329,LOW
ORCL,20170223,LOW
ORCL,20170124,LOW
ORCL,20161227,LOW
ORCL,20161125,LOW
ORCL,20160818,LOW
ORCL,20160708,LOW
ORCL,20160323,LOW
ORCL,20160203,LOW
ORCL,20160101,LOW
ORCL,20151126,LOW
ORCL,20151106,LOW
ORCL,20151008,LOW
ORCL,20150918,LOW
ORCL,20150827,LOW
ORCL,20150807,LOW
ORCL,20150528,LOW
ORCL,20150324,LOW
ORCL,20150210,LOW
ORCL,20150121,LOW
ORCL,20141127,LOW
ORCL,20141017,LOW
ORCL,20140801,LOW
ORCL,20140409,LOW
